,four,one,three,two
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3966153-Reviews-Paris_Tours_By_Genevieve-Paris_Ile_de_France.html,Paris Tours By Genevieve,Visites privées,50
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12621635-Reviews-Xl_Tour-Paris_Ile_de_France.html,Xl Tour,Visites culturelles,63
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d5992150-Reviews-Tripshooter_Private_Tours-Paris_Ile_de_France.html,Tripshooter Private Tours,Visites privées,53
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d654725-Reviews-Bateaux_Parisiens-Paris_Ile_de_France.html,Bateaux Parisiens,"Croisières, Visites guidées",3861
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7338825-Reviews-Cyclopolitain-Paris_Ile_de_France.html,Cyclopolitain,Excursions à vélo,60
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8134390-Reviews-Burgundia_Tour-Paris_Ile_de_France.html,Burgundia Tour,Visites culturelles,53
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10432669-Reviews-Don_Juan_II-Paris_Ile_de_France.html,Don Juan II,Croisières,168
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d189701-Reviews-Paris_A_Velo_C_est_Sympa-Paris_Ile_de_France.html,Paris à vélo c'est Sympa,Excursions à vélo,57
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8650322-Reviews-Le_Food_Trip-Paris_Ile_de_France.html,Le Food Trip,Circuits gourmands,67
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d13530607-Reviews-The_Paris_Guy-Paris_Ile_de_France.html,The Paris Guy,Visites culturelles,35
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7033640-Reviews-Layover_In_Paris-Paris_Ile_de_France.html,Layover In Paris,"Visites de la ville, Visites guidées",53
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d188678-Reviews-Bateaux_Mouches-Paris_Ile_de_France.html,Bateaux Mouches,"Croisières, Visites guidées",3124
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7113490-Reviews-ParisByM-Paris_Ile_de_France.html,ParisByM,"Visites guidées, Visites de la ville",42
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7650635-Reviews-Plongequilibre-Paris_Ile_de_France.html,Plongéquilibre,Plongée sous-marine et avec tuba,93
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d523179-Reviews-Batobus-Paris_Ile_de_France.html,Batobus,,2076
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7698005-Reviews-Taste_Your_France-Paris_Ile_de_France.html,Taste Your France,"Circuits gourmands, Cours de cuisine",42
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2299834-Reviews-Experience_Paris_Champagne_Region_Tours-Paris_Ile_de_France.html,Experience Paris - Champagne Region Tours,Visites privées,74
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3808079-Reviews-Alex_the_Tour_Guide_Tours-Paris_Ile_de_France.html,Alex the Tour Guide Tours,Visites privées,52
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8830210-Reviews-Free_Tour_Gratis-Paris_Ile_de_France.html,Free Tour Gratis,Visites pédestres,35
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12487008-Reviews-Planning_Paris-Paris_Ile_de_France.html,Planning Paris,"Visites privées, Visites de la ville",34
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2663642-Reviews-Street_Art_Paris-Paris_Ile_de_France.html,Street Art Paris,"Visites pédestres, Visites privées",125
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d9808519-Reviews-Private_Guide_Paris-Paris_Ile_de_France.html,Private Guide Paris,Visites pédestres,34
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1008070-Reviews-Big_Bus_Paris-Paris_Ile_de_France.html,Big Bus Paris,Visites en bus,3089
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12698906-Reviews-Guide_In_Paris_Galina_Masson-Paris_Ile_de_France.html,Guides à Paris Galina Masson,Visites de la ville,32
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d11797840-Reviews-FM_Tour_France-Paris_Ile_de_France.html,FM Tour France,"Visites de la ville, Visites guidées",33
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2297154-Reviews-French_Mystique_Bike_Tours-Paris_Ile_de_France.html,French Mystique Bike Tours,Excursions à vélo,76
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6509922-Reviews-Delicious_Paris-Paris_Ile_de_France.html,Delicious Paris,Circuits gourmands,38
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4921988-Reviews-Paris_Photo_Tours-Paris_Ile_de_France.html,Paris Photo Tours,Visites privées,39
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2072014-Reviews-Tours_For_Foodies-Paris_Ile_de_France.html,Tours For Foodies,"Cours de cuisine, Circuits gourmands",68
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7201356-Reviews-PICmyTRIP_Paris-Paris_Ile_de_France.html,PICmyTRIP Paris,Circuits photographiques,36
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10266202-Reviews-Paris_Polaroid_Tours-Paris_Ile_de_France.html,Paris Polaroid Tours,"Visites culturelles, Visites guidées",33
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2087114-Reviews-River_Limousine-Paris_Ile_de_France.html,River Limousine,"Visites privées, Taxis et navettes",49
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4317981-Reviews-Generali-Paris_Ile_de_France.html,Ballon de Paris Generali,Promenades en montgolfière,164
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d5321010-Reviews-Family_Twist_Tours-Paris_Ile_de_France.html,Family Twist - Tours,Visites privées,46
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d844427-Reviews-Vedettes_de_Paris-Paris_Ile_de_France.html,Vedettes de Paris,"Visites culturelles, Croisières",616
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4408925-Reviews-Holland_Bikes-Paris_Ile_de_France.html,Holland Bikes,Excursions à vélo,134
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10389692-Reviews-Ride_n_Smile-Paris_Ile_de_France.html,Ride'n'smile,"Visites de la ville, Visites à moto",31
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12088069-Reviews-Buendia_Tours-Paris_Ile_de_France.html,Buendia Tours,Visites de la ville,92
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12550123-Reviews-The_Wine_Truck_Paris-Paris_Ile_de_France.html,The Wine Truck Paris,Oenotourisme ,28
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2083337-Reviews-The_Spirit_of_Montmartre_Walking_Tour-Paris_Ile_de_France.html,The Spirit of Montmartre Walking Tour,Visites pédestres,92
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d667302-Reviews-PARISCityVISION-Paris_Ile_de_France.html,PARISCityVISION,"Visites culturelles, Visites guidées",7679
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12194106-Reviews-Le_Bon_Paris_Tours-Paris_Ile_de_France.html,Le Bon Paris,Circuits gourmands,28
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2621327-Reviews-Experience_Paris_Private_Horse_and_Carriage_Rides-Paris_Ile_de_France.html,Experience Paris - Private Horse and Carriage Rides,Visites privées,66
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7684939-Reviews-Discover_Walks-Paris_Ile_de_France.html,Discover Walks,Visites pédestres,34
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3376796-Reviews-Le_Vrai_Paris_Tours-Paris_Ile_de_France.html,Le Vrai Paris Tours,Visites privées,34
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7140178-Reviews-Paris_on_the_Edge-Paris_Ile_de_France.html,Paris on the Edge,Cours de cuisine,32
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d775828-Reviews-Paris_Musts_City_Tour_River_Seine_Cruise_and_Lunch-Paris_Ile_de_France.html,"Paris 'Musts' - City Tour, River Seine Cruise and Lunch",Croisières,160
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1721797-Reviews-Comme_des_Parisiens-Paris_Ile_de_France.html,Comme des Parisiens,Visites guidées,60
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7240806-Reviews-Paris_d_Enfants-Paris_Ile_de_France.html,Paris d'Enfants,Visites guidées,56
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12664357-Reviews-City_Smart_Way-Paris_Ile_de_France.html,City Smart Way,,27
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d9604055-Reviews-ARTernative_Paris-Paris_Ile_de_France.html,ARTernative Paris,Visites de la ville,29
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12358570-Reviews-SeeWay_Tour-Paris_Ile_de_France.html,SeeWay Tour,Visites en Segway,43
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3749862-Reviews-Passport_To_Paris_Tours-Paris_Ile_de_France.html,Passport To Paris Tours,Visites privées,31
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1549625-Reviews-France_Tourisme_Daily_tour-Paris_Ile_de_France.html,France Tourisme - Daily tour,Visites guidées,1018
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4440931-Reviews-Le_Paris_Noir_Tours_Prives-Paris_Ile_de_France.html,Le Paris Noir - Tours Privés,"Visites privées, Visites pédestres",27
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d11950981-Reviews-Metropole_Voyage-Paris_Ile_de_France.html,Metropole Voyage,"Visites pédestres, Visites privées",24
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2018810-Reviews-Mon_Cours_Photo-Paris_Ile_de_France.html,Mon Cours Photo,Visites privées,77
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d14058881-Reviews-ToursByLocals-Paris_Ile_de_France.html,ToursByLocals,Visites culturelles,21
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4005239-Reviews-Flynet_Travel-Paris_Ile_de_France.html,Flynet Travel,Visites de la ville,53
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6881599-Reviews-France_by_Marina_Tours-Paris_Ile_de_France.html,France by Marina Tours,Visites privées,27
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4062940-Reviews-Les_Visites_Particulieres_Private_Tours-Paris_Ile_de_France.html,Les Visites Particulières Private Tours,Visites privées,31
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2304659-Reviews-Paris_Chocolate_and_Pastry_Food_Tour-Paris_Ile_de_France.html,Paris Chocolate and Pastry Food Tour,Circuits gourmands,71
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1800359-Reviews-Experience_Paris_Guided_City_Tour-Paris_Ile_de_France.html,Experience Paris - Guided City Tour,Visites privées,73
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10719797-Reviews-Go_Bike_Paris-Paris_Ile_de_France.html,Go Bike Paris,Excursions à vélo,23
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2478231-Reviews-Logic_Way_Segway_Tours-Paris_Ile_de_France.html,Logic Way Segway Tours,Visites en Segway,48
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1135231-Reviews-The_Little_Train_of_Montmartre_Le_Petit_Train_de_Montmartre-Paris_Ile_de_France.html,The Little Train of Montmartre (Le Petit Train de Montmartre),Visites en train,242
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10381189-Reviews-FredsWalks-Paris_Ile_de_France.html,FredsWalks,Visites de la ville,26
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7296414-Reviews-Paris_Celebrity_Tours-Paris_Ile_de_France.html,Paris Celebrity Tours,Circuits shopping,44
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3735381-Reviews-Paris_Panoramic_Tour-Paris_Ile_de_France.html,Paris Panoramic Tour,Visites en bus,54
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2287219-Reviews-Mobilboard_Segway_Tours-Paris_Ile_de_France.html,Mobilboard Paris-Invalides,Visites en Segway,63
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10259227-Reviews-Succulent_Paris-Paris_Ile_de_France.html,Succulent-Paris,"Circuits gourmands, Cours de cuisine",25
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8693803-Reviews-Paris_ZigZag-Paris_Ile_de_France.html,Paris ZigZag,,44
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8766147-Reviews-Paris_Sensacional-Paris_Ile_de_France.html,Paris-Sensacional -Day Tours,Visites culturelles,24
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6922889-Reviews-Walking_Tours_of_Paris-Paris_Ile_de_France.html,Walking Tours of Paris,Visites pédestres,24
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1829579-Reviews-Paris_Private_Guides-Paris_Ile_de_France.html,Paris Private Guides,Visites privées,38
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4191552-Reviews-Paris_With_Ted_Tours-Paris_Ile_de_France.html,Paris With Ted Tours,Visites privées,24
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8489759-Reviews-Vip_Turismo_Paris-Paris_Ile_de_France.html,Vip Turismo Paris,Visites privées,96
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7305669-Reviews-History_Bus-Paris_Ile_de_France.html,History Bus,"Visites guidées, Visites en bus",153
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3587637-Reviews-Walking_The_Spirit_Tours_of_Black_Paris_Day_Tours-Paris_Ile_de_France.html,Walking The Spirit Tours of Black Paris Day Tours,"Visites privées, Visites pédestres",30
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d591429-Reviews-La_Tour_Jean_Sans_Peur-Paris_Ile_de_France.html,La Tour Jean Sans Peur,,55
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4545186-Reviews-Cine_Balade-Paris_Ile_de_France.html,Ciné-Balade,Visites culturelles,24
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d11668977-Reviews-Paris_Greeters-Paris_Ile_de_France.html,Paris Greeters,Visites pédestres,33
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12326208-Reviews-Rendez_vous_Parfum-Paris_Ile_de_France.html,Rendez-vous Parfum,Visites privées,19
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12118473-Reviews-Intripid-Paris_Ile_de_France.html,Intripid,Visites de la ville,39
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d9736493-Reviews-La_Derniere_Goutte-Paris_Ile_de_France.html,La Dernière Goutte,Oenotourisme ,21
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d11838795-Reviews-Elisa_Jehanno_Tour_Guide-Paris_Ile_de_France.html,Elisa Jehanno Tour Guide,"Visites nocturnes, Visites pédestres",18
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2699434-Reviews-L_Enigme_des_Passages_Couverts-Paris_Ile_de_France.html,L'Enigme des Passages Couverts,Visites pédestres,31
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8008292-Reviews-Paris_Shopping_Tour-Paris_Ile_de_France.html,Paris Shopping Tour,Circuits shopping,22
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10306693-Reviews-Joanna_s_Fun_Friendly_Private_Tours_of_Paris-Paris_Ile_de_France.html,Joanna's Fun & Friendly Private Tours of Paris,"Visites pédestres, Cours de cuisine",21
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10266198-Reviews-Chinatown_avec_Thuy-Paris_Ile_de_France.html,Chinatown avec Thuy,Visites culturelles,18
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7646978-Reviews-The_Gay_Locals-Paris_Ile_de_France.html,The Gay Locals,Visites pédestres,31
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d188875-Reviews-Rollers_Coquillages-Paris_Ile_de_France.html,Rollers & Coquillages,Visites de la ville,25
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8064593-Reviews-Cox_in_the_City-Paris_Ile_de_France.html,Cox in the City,Visites nocturnes,23
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d13656530-Reviews-BeTogether_Tours-Paris_Ile_de_France.html,BeTogether Tours,Visites culturelles,18
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10000645-Reviews-Les_Balades_de_Lorenzo-Paris_Ile_de_France.html,Les Balades de Lorenzo,Visites culturelles,18
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7156340-Reviews-Cyclo_Cafe_Paris-Paris_Ile_de_France.html,Cyclo-Cafe Paris,Excursions à vélo,36
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8292259-Reviews-L_Echappee_Biere-Paris_Ile_de_France.html,L'Echappée Bière,Dégustations de bières,35
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d9719047-Reviews-City_Spirits-Paris_Ile_de_France.html,City Spirits,"Visites privées, Visites de la ville",21
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8630421-Reviews-AmericanConcierge-Paris_Ile_de_France.html,AmericanConcierge,Excursions de plusieurs jours,18
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d245067-Reviews-La_Croisiere_Enchantee-Paris_Ile_de_France.html,La Croisière Enchantée,Visites guidées,47
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1122412-Reviews-Aeon_Tours-Paris_Ile_de_France.html,Aeon Tours,Visites guidées,219
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3826799-Reviews-Montmartre_Free_Tours-Paris_Ile_de_France.html,Montmartre Free Tours,Visites pédestres,38
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3587680-Reviews-Marina_de_Paris-Paris_Ile_de_France.html,Marina de Paris,Croisières,250
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7108037-Reviews-Go_SelfTours-Paris_Ile_de_France.html,Go-SelfTours,Visites guidées,44
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10408945-Reviews-Dicas_de_Paris-Paris_Ile_de_France.html,Dicas de Paris,Taxis et navettes,67
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10150189-Reviews-Rue_Amandine-Paris_Ile_de_France.html,Rue Amandine,Visites privées,16
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1942367-Reviews-Paris_en_Scene-Paris_Ile_de_France.html,Paris en Scène,Croisières,1201
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7699932-Reviews-The_Photo_Academy_Day_Classes-Paris_Ile_de_France.html,The Photo Academy - Day Classes,Cours et ateliers,15
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4922121-Reviews-Easy_Versailles_Touring_Private_Tours-Paris_Ile_de_France.html,Easy Versailles Touring Private Tours,Visites privées,62
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2421588-Reviews-Sandy_Paris_Tours-Paris_Ile_de_France.html,Sandy Paris Tours,Excursions à la journée,17
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d9777970-Reviews-Normandy_Melody-Paris_Ile_de_France.html,Normandy Melody,,15
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10729128-Reviews-Girl_Meets_Glass-Paris_Ile_de_France.html,Girl Meets Glass,Oenotourisme ,15
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1909485-Reviews-Photo_Tours_of_Paris-Paris_Ile_de_France.html,Photo Tours of Paris,Visites guidées,63
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8757742-Reviews-Paris_as_you_Please-Paris_Ile_de_France.html,Paris as you Please,Visites de la ville,17
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2062180-Reviews-Photo_Perfect_Paris-Paris_Ile_de_France.html,Photo Perfect Paris,Circuits photographiques,30
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2098562-Reviews-Napoleon_Tours-Paris_Ile_de_France.html,Napoleon Tours,"Visites guidées, Visites privées",34
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1594653-Reviews-Paris_by_Night_Illuminations_bus_tour-Paris_Ile_de_France.html,Paris by Night Illuminations bus tour,"Visites en bus, Visites nocturnes",101
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d9997494-Reviews-Top_Paris_Transfer-Paris_Ile_de_France.html,Top Paris Transfer,"Taxis et navettes, Visites guidées",24
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d11702621-Reviews-Visit_the_Hidden_Paris-Paris_Ile_de_France.html,Visit the Hidden Paris,Visites de la ville,14
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6438673-Reviews-Circle_Paris-Paris_Ile_de_France.html,Circle Paris,Visites de la ville,19
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7622927-Reviews-Versailles_Express-Paris_Ile_de_France.html,Versailles Express,Visites culturelles,52
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4116454-Reviews-Pole_Walks-Paris_Ile_de_France.html,Pole Walks,Visites pédestres,23
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2023091-Reviews-Paris_UNDERbelly_Discovery_Tours_and_Supper_Club-Paris_Ile_de_France.html,Paris UNDERbelly Discovery Tours and Supper Club,Visites guidées,30
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d5043675-Reviews-Le_Capitaine_Fracasse-Paris_Ile_de_France.html,Le Capitaine Fracasse,Croisières,99
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d11728977-Reviews-Paris_Uncovered-Paris_Ile_de_France.html,Paris Uncovered,Visites de la ville,12
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d13005080-Reviews-Paris_Golfette-Paris_Ile_de_France.html,Paris Golfette,Visites de la ville,11
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10755089-Reviews-ECityBikes-Paris_Ile_de_France.html,eCityBikes,Visites et locations sans guides,12
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2038977-Reviews-Paris_Bus_Service_Tours-Paris_Ile_de_France.html,Paris Bus Service Tours,Visites en bus,26
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3258729-Reviews-1dayinparis_com_Private_Tours-Paris_Ile_de_France.html,1dayinparis.com Private Tours,Visites privées,21
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12976332-Reviews-Vino_Itineris-Paris_Ile_de_France.html,Vino Itineris,"Oenotourisme , Circuits gourmands",11
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d11851133-Reviews-Vegan_Food_Tours-Paris_Ile_de_France.html,Vegan Food Tours,"Visites culturelles, Visites guidées",11
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6959597-Reviews-Bijoux_Society-Paris_Ile_de_France.html,Bijoux Society,,15
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d585912-Reviews-Open_Tour_Paris-Paris_Ile_de_France.html,Open Tour Paris,"Visites nocturnes, Visites guidées",2958
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4063359-Reviews-Deluxe_Drivers_Private_Tours-Paris_Ile_de_France.html,Deluxe Drivers Private Tours,Visites privées,15
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7274643-Reviews-Bateau_mon_Paris-Paris_Ile_de_France.html,Bateau mon Paris,"Visites guidées, Croisières",18
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10448909-Reviews-Parisian_Cliches-Paris_Ile_de_France.html,Parisian Clichés,Circuits photographiques,11
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1819445-Reviews-Paris_Small_Bike_Tours-Paris_Ile_de_France.html,Paris Small Bike Tours,Excursions à vélo,140
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d13449016-Reviews-Guide_in_Paris_Gari-Paris_Ile_de_France.html,Guide in Paris Gari,"Visites privées, Visites de la ville",9
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12088023-Reviews-Brazilian_in_Paris-Paris_Ile_de_France.html,Brazilian in Paris,Taxis et navettes,11
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4406855-Reviews-Paris_Tours_Service-Paris_Ile_de_France.html,Paris Tours Service,Visites de la ville,29
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1788559-Reviews-Experience_Paris_Segway_Tours-Paris_Ile_de_France.html,Experience Paris - Segway Tours,Visites en Segway,19
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d13393115-Reviews-Fat_Cat_Tours-Paris_Ile_de_France.html,Fat Cat Tours,"Visites guidées, Visites culturelles",9
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10074425-Reviews-Paris_Infinito-Paris_Ile_de_France.html,Paris Infinito,Visites privées,12
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7112259-Reviews-Le_Food_Tour-Paris_Ile_de_France.html,Le Food Tour,Circuits gourmands,16
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8018673-Reviews-The_Wine_School_Paris-Paris_Ile_de_France.html,The Wine School Paris,"Cours et ateliers, Oenotourisme ",12
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4922119-Reviews-France_Private_Tour-Paris_Ile_de_France.html,France Private Tour,Visites privées,14
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6400725-Reviews-VIP_Tours_Paris-Paris_Ile_de_France.html,VIP Tours Paris,"Visites de la ville, Visites privées",15
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7121591-Reviews-ArchiTrip-Paris_Ile_de_France.html,ArchiTrip,Visites guidées,20
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3725152-Reviews-Paris_Photo_Tours-Paris_Ile_de_France.html,Paris Photo Tours,Circuits photographiques,13
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d188462-Reviews-Place_d_Aligre-Paris_Ile_de_France.html,Place d'Aligre,Circuits shopping,16
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8727787-Reviews-Paris_Feliz-Paris_Ile_de_France.html,Paris Feliz,,23
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d9465599-Reviews-A_Spasso_Per_Parigi-Paris_Ile_de_France.html,A Spasso Per Parigi,"Visites privées, Visites de la ville",11
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3556694-Reviews-GA_Paris_Tours-Paris_Ile_de_France.html,GA Paris Tours,Visites de la ville,11
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d11959468-Reviews-Paris_a_l_envers-Paris_Ile_de_France.html,Paris a l'envers,"Visites de la ville, Visites privées",9
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12680754-Reviews-Quad_in_the_City-Paris_Ile_de_France.html,Quad in the City,Visites nocturnes,20
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6277752-Reviews-Andar_em_Paris_Private_Tours-Paris_Ile_de_France.html,Andar em Paris Private Tours,Visites privées,14
